year,v1_share_score_ge_2,v1_share_score_ge_1,v1_share_score_eq_3,v2_share_score_ge_2,v2_share_score_ge_1,v2_share_score_eq_3,delta_share_score_ge_2,delta_share_score_ge_1,delta_share_score_eq_3
2014,0.2,0.4,0.0,0.0,0.2,0.0,-0.2,-0.2,0.0
2015,0.2777777777777778,0.5555555555555556,0.0,0.2222222222222222,0.5,0.0,-0.05555555555555558,-0.05555555555555558,0.0
2016,0.25,0.53125,0.0625,0.21875,0.5,0.03125,-0.03125,-0.03125,-0.03125
2017,0.0714285714285714,0.4642857142857143,0.0,0.03571428571428571,0.4642857142857143,0.0,-0.035714285714285685,0.0,0.0
2018,0.09375,0.5,0.0,0.09375,0.53125,0.0,0.0,0.03125,0.0
2019,0.1794871794871795,0.5641025641025641,0.0256410256410256,0.15384615384615385,0.5897435897435898,0.0,-0.025641025641025633,0.02564102564102566,-0.0256410256410256
2020,0.1111111111111111,0.4,0.0222222222222222,0.06666666666666667,0.4222222222222222,0.0,-0.04444444444444444,0.0222222222222222,-0.0222222222222222
2021,0.1641791044776119,0.4776119402985074,0.0149253731343283,0.13432835820895522,0.43283582089552236,0.0,-0.029850746268656664,-0.04477611940298504,-0.0149253731343283
2022,0.2826086956521739,0.6739130434782609,0.0217391304347826,0.1956521739130435,0.6086956521739131,0.021739130434782608,-0.0869565217391304,-0.06521739130434778,6.938893903907228e-18
2023,0.0617977528089887,0.3932584269662921,0.0,0.033707865168539325,0.39325842696629215,0.0,-0.028089887640449375,5.551115123125783e-17,0.0
2024,0.1481481481481481,0.5925925925925926,0.037037037037037,0.07407407407407407,0.48148148148148145,0.0,-0.07407407407407404,-0.1111111111111111,-0.037037037037037
2025,0.2549019607843137,0.6470588235294118,0.0392156862745098,0.21568627450980393,0.6078431372549019,0.0,-0.039215686274509776,-0.03921568627450989,-0.0392156862745098
