canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason
88,中材节能股份有限公司,603126.SH,中材节能,中材节能股份有限公司,科学研究和技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
89,广东金莱特电器股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
90,深圳市倍轻松科技股份有限公司,688793.SH,倍轻松,深圳市倍轻松科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
91,陕西科隆新材料科技股份有限公司,920098.BJ,科隆新材,陕西科隆新材料科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
92,招商银行股份有限公司咸阳分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,
93,中国平安人寿保险股份有限公司天津分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
94,梦金园黄金珠宝集团股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
95,宁波创源文化发展股份有限公司,300703.SZ,创源股份,宁波创源文化发展股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
96,招商银行股份有限公司十堰分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,
97,宁波天龙电子股份有限公司,603266.SH,天龙股份,宁波天龙电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
98,杰华特微电子股份有限公司,688141.SH,杰华特,杰华特微电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
99,山石网科通信技术股份有限公司,688030.SH,山石网科,山石网科通信技术股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
100,浙江捷昌线性驱动科技股份有限公司,603583.SH,捷昌驱动,浙江捷昌线性驱动科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
101,北京红黄蓝儿童教育科技发展有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
103,合肥立方制药股份有限公司,003020.SZ,立方制药,合肥立方制药股份有限公司,批发和零售业,matched,exact_normalized,high,标准化公司全称精确匹配,
105,南京肯特复合材料股份有限公司,301591.SZ,肯特股份,南京肯特复合材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
106,福建广生堂药业股份有限公司,300436.SZ,广生堂,福建广生堂药业股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
107,华夏航空股份有限公司,002928.SZ,华夏航空,华夏航空股份有限公司,交通运输、仓储和邮政业,matched,exact_normalized,high,标准化公司全称精确匹配,
108,中国平安财产保险股份有限公司珠海中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
109,中国平安人寿保险股份有限公司福建分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
110,南京泉峰汽车精密技术股份有限公司,603982.SH,泉峰汽车,南京泉峰汽车精密技术股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
111,深圳市振邦智能科技股份有限公司,003028.SZ,振邦智能,深圳市振邦智能科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
112,胜宏科技(惠州)股份有限公司,300476.SZ,胜宏科技,胜宏科技(惠州)股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
113,重庆登康口腔护理用品股份有限公司,001328.SZ,登康口腔,重庆登康口腔护理用品股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
114,浙江拱东医疗器械股份有限公司,605369.SH,拱东医疗,浙江拱东医疗器械股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
115,武汉市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,
116,贝隆精密科技股份有限公司,301567.SZ,贝隆精密,贝隆精密科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
117,北京挖金客信息科技股份有限公司,301380.SZ,挖金客,北京挖金客信息科技股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
118,上海复旦张江生物医药股份有限公司,688505.SH,复旦张江,上海复旦张江生物医药股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
120,广东正业科技股份有限公司,300410.SZ,正业科技,广东正业科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
121,迈拓仪表股份有限公司,301006.SZ,迈拓股份,迈拓仪表股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
122,上海毕得医药科技股份有限公司,688073.SH,毕得医药,上海毕得医药科技股份有限公司,科学研究和技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
123,中国国际货运航空股份有限公司,001391.SZ,国货航,中国国际货运航空股份有限公司,交通运输、仓储和邮政业,matched,exact_normalized,high,标准化公司全称精确匹配,
124,瑞浦兰钧能源股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
125,佛山市海天调味食品股份有限公司,603288.SH,海天味业,佛山市海天调味食品股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
127,奇安信科技集团股份有限公司,688561.SH,奇安信-U,奇安信科技集团股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
128,金徽酒股份有限公司,603919.SH,金徽酒,金徽酒股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
130,中国平安财产保险股份有限公司海南分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
131,重庆瑜欣平瑞电子股份有限公司,301107.SZ,瑜欣电子,重庆瑜欣平瑞电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
132,招商银行股份有限公司漳州分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,
133,广州视源电子科技股份有限公司,002841.SZ,视源股份,广州视源电子科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
134,海南普利制药股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
135,成都长城开发科技股份有限公司,920029.BJ,开发科技,成都长城开发科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
136,中国平安人寿保险股份有限公司湖南分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
137,深圳市中科蓝讯科技股份有限公司,688332.SH,中科蓝讯,深圳市中科蓝讯科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
138,甘源食品股份有限公司,002991.SZ,甘源食品,甘源食品股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
139,深圳精智达技术股份有限公司,688627.SH,精智达,深圳精智达技术股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
140,中国核工业建设股份有限公司,601611.SH,中国核建,中国核工业建设股份有限公司,建筑业,matched,exact_normalized,high,标准化公司全称精确匹配,
